"year","count","mean.2","mean.3","median.2","median.3","sd.2","sd.3"
1877-01-01,4,39.25,45,40,45,2.98607881119482,4.24264068711928
1878-01-01,9,43.1111111111111,35,40,35,14.1725477988649,14.142135623731
1879-01-01,1,27,NA,27,NA,NA,NA
1880-01-01,6,217.5,60,62.5,60,274.695285725838,NA
1882-01-01,2,24,NA,24,NA,1.4142135623731,NA
1883-01-01,6,19.5,22.6666666666667,20,24,3.01662062579967,2.3094010767585
1884-01-01,4,14.5,20,17.5,20,8.7368949480541,NA
1885-01-01,2,20.5,20,20.5,20,4.94974746830583,NA
1886-01-01,6,41.0555555555556,46.6,41.5,48,15.5940396970789,16.3645959314613
1887-01-01,3,24,25,20,25,9.64365076099295,7.07106781186548
1888-01-01,1,22,NA,22,NA,NA,NA
1889-01-01,2,20,NA,20,NA,0,NA
1890-01-01,7,22.8571428571429,26,25,26,3.53216512583861,NA
1891-01-01,7,29.7142857142857,32.3333333333333,34,33,6.75066134326323,8.02080627701064
1892-01-01,1,28,31,28,31,NA,NA
1898-01-01,9,36.2222222222222,NA,38,NA,6.47645307590848,NA
1901-01-01,3,32.6666666666667,NA,31,NA,6.65832811847939,NA
1903-01-01,1,22,28,22,28,NA,NA
1904-01-01,1,30,NA,30,NA,NA,NA
1905-01-01,1,23,NA,23,NA,NA,NA
1906-01-01,2,4.25,NA,4.25,NA,1.06066017177982,NA
1908-01-01,9,37.7037037037037,50.6666666666667,35,42.6666666666667,20.0613257319514,10.6039824803912
1909-01-01,4,29.5,29.5,28.5,29.5,21.51743479135,28.9913780286484
1910-01-01,77,43.6363636363636,49.2794117647059,45,49,8.37292032626642,6.85283839079403
1911-01-01,35,42.5428571428571,43.8958333333333,42,44,4.58156701386338,2.68643600441125
1912-01-01,4,36,40,37,40,4.24264068711928,2.82842712474619
1913-01-01,5,38.2,47.4,43,52,20.2780669690185,26.9406755668821
1914-01-01,6,40.3333333333333,45,41,45,3.9327683210007,NA
1915-01-01,3,49.3333333333333,NA,49.5,NA,1.75594229214212,NA
1916-01-01,3,9.66666666666667,NA,10,NA,0.577350269189626,NA
1917-01-01,4,204.583333333333,145,134.166666666667,145,200.902477723784,NA
1918-01-01,12,334.583333333333,545,360,545,167.609642993004,NA
NA,12,81.25,51.5,37.5,51.5,149.144301692263,40.3050865276332
